"date","new_cases"
"918","2022-07-08",161187
"919","2022-07-09",131345
"920","2022-07-10",116405
"921","2022-07-11",110589
"922","2022-07-12",24343
"923","2022-07-13",182006
"924","2022-07-14",127529
"925","2022-07-15",115424
"926","2022-07-16",14911
"927","2022-07-17",124009
"928","2022-07-18",73668
"929","2022-07-19",17733
"930","2022-07-20",134188
"931","2022-07-21",85747
"932","2022-07-22",80624
"933","2022-07-23",67587
"934","2022-07-24",68532
"935","2022-07-25",50032
"936","2022-07-26",11195
"937","2022-07-27",81818
"938","2022-07-28",58638
"939","2022-07-29",50518
"940","2022-07-30",40224
"941","2022-07-31",41278
"942","2022-08-01",31535
"943","2022-08-02",7249
"944","2022-08-03",54105
"945","2022-08-04",32965
"946","2022-08-05",33751
"947","2022-08-06",26466
"948","2022-08-07",28518
"949","2022-08-08",21528
"950","2022-08-09",5090
"951","2022-08-10",38211
"952","2022-08-11",27081
"953","2022-08-12",19410
"954","2022-08-13",19811
"955","2022-08-14",21175
"956","2022-08-15",16347
"957","2022-08-16",4564
"958","2022-08-17",6325
"959","2022-08-18",30652
"960","2022-08-19",23271
"961","2022-08-20",18260
"962","2022-08-21",19870
"963","2022-08-22",14811
"964","2022-08-23",4012
"965","2022-08-24",28988
"966","2022-08-25",21289
"967","2022-08-26",13851
"968","2022-08-27",16317
"969","2022-08-28",17833
"970","2022-08-29",13331
"971","2022-08-30",3806
"972","2022-08-31",27358
"973","2022-09-01",19240
"974","2022-09-02",11392
"975","2022-09-03",16399
"976","2022-09-04",15597
"977","2022-09-05",12157
"978","2022-09-06",3443
"979","2022-09-07",26918
"980","2022-09-08",15481
"981","2022-09-09",19800
"982","2022-09-10",15038
"983","2022-09-11",19517
"984","2022-09-12",15769
"985","2022-09-13",4579
"986","2022-09-14",41850
"987","2022-09-15",31003
"988","2022-09-16",33118
"989","2022-09-17",28686
"990","2022-09-18",33162
"991","2022-09-19",22574
"992","2022-09-20",5211
"993","2022-09-21",51816
"994","2022-09-22",36925
"995","2022-09-23",38425
"996","2022-09-24",36753
"997","2022-09-25",38024
"998","2022-09-26",30860
"999","2022-09-27",7478
"1000","2022-09-28",73639
"1001","2022-09-29",52787
"1002","2022-09-30",51348
"1003","2022-10-01",46121
"1004","2022-10-02",46547
"1005","2022-10-03",37074
"1006","2022-10-04",8688
